timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741748778661,168,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,167,0,41
1741748778836,29,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,29,0,1
1741748778866,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,19,0,0
1741748778885,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,19,0,0
1741748778904,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,0
1741748778922,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,0
1741748778939,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,0
1741748778956,23,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,23,0,1
1741748778979,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,0
1741748778997,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,0
1741748779015,18,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,18,0,0
1741748779033,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,20,0,0
1741748779064,23,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,23,0,1
1741748779087,23,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,23,0,1
1741748779110,23,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,23,0,0
1741748779133,23,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,23,0,0
1741748779156,24,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,24,0,1
1741748779180,36,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,36,0,0
1741748779216,28,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,28,0,0
1741748779245,23,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,23,0,0
1741748779268,24,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,24,0,0
1741748779292,22,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,22,0,1
1741748779314,20,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,20,0,0
1741748779334,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,19,0,0
1741748779353,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,19,0,1
1741748779372,17,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,17,0,0
1741748779389,19,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,19,0,1
1741748779408,22,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,22,0,1
1741748779430,23,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,23,0,1
1741748779453,23,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,23,0,1
1741748779476,23,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,23,0,0
1741748779499,24,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,24,0,1
1741748779524,22,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,22,0,0
1741748779562,27,HTTP Request,200,OK,Thread Group 1-1,text,true,,2779,190,1,1,http://127.0.0.1:8000/bbs/boards/,27,0,0
