課碼,系所,課程標題,授課教師,課程類型,學分數,上課地點,上課時間,選課方法,授課方法,課程連結,課程概述,選課狀況-名額,選課狀況-選上人數,選課狀況-剩餘名額,選課狀況-已登記
1,文學院,東海課程-文學院表演藝術產業實務(林佳瑩老師1132-1) ,,選修課,0-2,LAN111,"一/7,8",,,https://course.thu.edu.tw/view/113/2/1,, 70,57            ,13,
2,文學院,東海課程-文學院戲劇賞析(許正平老師1132-2) ,,選修課,0-2,A101,"二/8,9",,,https://course.thu.edu.tw/view/113/2/2,, 30,37            ,-7,
3,文學院,東海課程-文學院劇本寫作(許正平老師1132-3) ,,選修課,0-2,LAN015,"四/3,4",,,https://course.thu.edu.tw/view/113/2/3,, 30,33            ,-3,
4,文學院,東海課程-文學院歐洲文化探討與實踐(陳漢玉老師1132-4) ,,選修課,0-2,A105,"五/3,4",,,https://course.thu.edu.tw/view/113/2/4,, 30,28            ,2,
5,文學院,東海課程-文學院來自日本在地吉祥物的一則訊息(菅田陽平老師1132-5) ,,選修課,0-1,H122,"二/7,8",,,https://course.thu.edu.tw/view/113/2/5,, 30,22            ,8,
6,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/6,,,,,
7,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/7,,,,,
8,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/8,,,,,
9,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/9,,,,,
10,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/10,,,,,
11,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/11,,,,,
12,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/12,,,,,
13,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/13,,,,,
14,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/14,,,,,
15,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/15,,,,,
16,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/16,,,,,
17,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/17,,,,,
18,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/18,,,,,
19,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/19,,,,,
20,依開課單位瀏覽課程,東海大學課程資訊網 - 依開課學院列出課程,找不到授課教師,,,,,,,https://course.thu.edu.tw/view/113/2/20,,,,,
21,中國文學系,東海課程-中國文學系中文：文學思辨與敘事素養(劉淑貞老師1132-21) ,,必修課,2-2,H209,"三/3,4",,,https://course.thu.edu.tw/view/113/2/21,, 60,48            ,12,
22,中國文學系,東海課程-中國文學系文學概論(高禎臨老師1132-22) ,,必修課,2-2,H209,"四/3,4",,,https://course.thu.edu.tw/view/113/2/22,, 60,50            ,10,
23,中國文學系,東海課程-中國文學系中文：文學思辨與敘事素養(林餘佐老師1132-23) ,,必修課,2-2,A105,"四/3,4",,,https://course.thu.edu.tw/view/113/2/23,, 60,51            ,9,
24,中國文學系,東海課程-中國文學系文學概論(阮美慧老師1132-24) ,,必修課,2-2,H209,"二/3,4",,,https://course.thu.edu.tw/view/113/2/24,, 60,50            ,10,
25,中國文學系,東海課程-中國文學系中國文學史(李佳蓮老師1132-25) ,,必修課,3-3,H306,"二/2,3,4",,,https://course.thu.edu.tw/view/113/2/25,, 60,47            ,13,
26,中國文學系,東海課程-中國文學系詩選及習作(鍾曉峰老師1132-26) ,,必修課,2-2,H209,"一/3,4",,,https://course.thu.edu.tw/view/113/2/26,, 60,51            ,9,
27,中國文學系,東海課程-中國文學系文字學(謝博霖老師1132-27) ,,必修課,2-2,H307,"四/3,4",,,https://course.thu.edu.tw/view/113/2/27,, 60,42            ,18,
28,中國文學系,東海課程-中國文學系中國文學史(謝文華老師1132-28) ,,必修課,3-3,H207,"四/2,3,4",,,https://course.thu.edu.tw/view/113/2/28,, 60,47            ,13,
29,中國文學系,東海課程-中國文學系詩選及習作(鍾曉峰老師1132-29) ,,必修課,2-2,H307,"二/3,4",,,https://course.thu.edu.tw/view/113/2/29,, 60,41            ,19,
30,中國文學系,東海課程-中國文學系文字學(謝博霖老師1132-30) ,,必修課,2-2,H306,"三/3,4",,,https://course.thu.edu.tw/view/113/2/30,, 60,64            ,-4,
