學院,學系,
文學院,中國文學系,Department of Chinese Literature
College of Arts,外國語文學系,Department of Foreign Languages and Literature
,歷史學系,Department of History
,日本語言文化學系,Department of Japanese Language and Literature
,哲學系,Department of Philosophy
,哲學系碩士在職專班,Philosophy for Working Professionals
,華語文教學國際碩士學程,International Graduate Program of Teaching Chinese as a Second Language
理學院,應用物理學系,Department of Physics
College of Science,化學系,Department of Chemistry
,生命科學系,Department of Life Science
,智慧計算應用數學系,Department of Mathematics
,生醫暨材料科學國際博士學位學程,International Ph.D. Program in Biomedical and Materials Science
,生物多樣性國際研究生博士學位學程,International Graduate Program - Ph.D. Program on Biodiversity
工學院,化學工程與材料工程學系,Department of Chemical Engineering and Materials Engineering
College of Engineering,工業工程與經營資訊學系,Department of Industrial Engineering and Enterprise Information
,工業工程與經營資訊碩士專班,Industrial Engineering and Enterprise Information for Working Professionals
,環境科學與工程學系,Department of Environmental Science and Engineering
,資訊工程學系,Department of Computer Science and Information Engineering
,資訊工程學系在職專班,Computer Science and Information Engineering
,電機工程學系,Department of Electrical Engineering
,數位創新碩士學位學程,Master Program of Digital Innovation
管理學院,企業管理學系,Department of Business Administration
College of Management,國際經營與貿易學系,Department of International Business
,會計學系,Department of Accounting
,財務金融學系,Department of Finance
,高階經營管理專班,Business Administration for Working Professionals
,國際企業管理碩士學位學程,Global Master of Business Administration
,統計學系,Department of Statistics
,資訊管理學系,Department of Information Management
社會科學院,經濟學系,Department of Economics
College of Social Science,政治學系,Department of Polotical Science
,行政管理暨政策學系,Department of Public Management and Policy
,社會學系,Department of Sociology
,社會工作學系,Department of Social Work
,教育研究所,Education
,教育研究所碩士在職專班,Public Affairs for Working Professionals
,公共事務在職專班,Executive Master of Public Affairs
農業暨健康學院,畜產與生物科技學系,Department of Animal Science and Biotechnology
College of Agriculture,食品科學系,Department of Food Science
,餐旅管理學系,Department of Hospitality Management
,餐旅管理學系在職專班,Hospitality Management for Working Professionals
,高齡健康與運動科學學士學位學程,Bachelor of Science in Senior Wellness and Sports Science
,智慧暨精緻農業學位學程,Degree in Wisdom and Refined Agriculture
,農業資源與健康科學國際碩士學位學程,International Master of Agriculture Resources and Health Sciences
創意設計暨藝術學院,美術學系,Department of Fine Arts
"College of Fine Arts and 
Creative Design",美術系碩士在職專班,Fine Arts for Working Professionals
,音樂學系,Department of Music
,建築學系,Department of Architecture
,工業設計學系,Department of Industrial Design
,工業設計學系碩士在職專班,Industrial Design for Working Professionals
,景觀學系,Department of Landscape Architecture
,景觀系碩士班在職專班,Landscape Architecture for Professionals
,表演藝術與創作碩士學位學程,Master of Performing Arts and Creation
法律學院,法律學系,Deartment of Law
College of Law,法律學系碩士在職專班,Law for working
國際學院,國際經營管理學位學程,Degree in International Business Administration
International College ,永續科學與管理學士學位學程,Bachelor of Sustainable Science and Management
,國際學院不分系英語學士班,Interdisciplinary Degree Program
